"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 26 07:51:21 UTC 2026","Sun Apr 26 07:51:50 UTC 2026","28934","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyNavigationToAgentSignupPage","verifyNavigationToAgentSignupPage()",""
"passed","Sun Apr 26 07:52:35 UTC 2026","Sun Apr 26 07:53:02 UTC 2026","27687","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyNavigationToContactUsPage","verifyNavigationToContactUsPage()",""
"passed","Sun Apr 26 07:49:39 UTC 2026","Sun Apr 26 07:50:21 UTC 2026","42074","","tests.signup.tests.customer.CustomerSignupTest","","tests.signup.tests.customer.CustomerSignupTest","verifySuccessfulCustomerSignup","verifySuccessfulCustomerSignup()",""
"passed","Sun Apr 26 07:50:06 UTC 2026","Sun Apr 26 07:50:33 UTC 2026","27793","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyCurrencyChange","verifyCurrencyChange()",""
"passed","Sun Apr 26 07:53:02 UTC 2026","Sun Apr 26 07:53:13 UTC 2026","10539","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyNavigationToBestTravelDealsPage","verifyNavigationToBestTravelDealsPage()",""
"passed","Sun Apr 26 07:49:36 UTC 2026","Sun Apr 26 07:50:06 UTC 2026","29100","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyLanguageChange","verifyLanguageChange()",""
"passed","Sun Apr 26 07:50:30 UTC 2026","Sun Apr 26 07:50:56 UTC 2026","26360","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyNavigationToVisaBookingPage","verifyNavigationToVisaBookingPage()",""
"passed","Sun Apr 26 07:49:36 UTC 2026","Sun Apr 26 07:50:06 UTC 2026","29361","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyNavigationToInvestorsPage","verifyNavigationToInvestorsPage()",""
"passed","Sun Apr 26 07:51:30 UTC 2026","Sun Apr 26 07:51:57 UTC 2026","27169","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyNavigationToFAQPage","verifyNavigationToFAQPage()",""
"passed","Sun Apr 26 07:52:22 UTC 2026","Sun Apr 26 07:52:46 UTC 2026","23996","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyNavigationToAccessibilityPage","verifyNavigationToAccessibilityPage()",""
"passed","Sun Apr 26 07:51:06 UTC 2026","Sun Apr 26 07:51:31 UTC 2026","24851","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyNavigationToAffiliateProgramPage","verifyNavigationToAffiliateProgramPage()",""
"passed","Sun Apr 26 07:49:39 UTC 2026","Sun Apr 26 07:50:16 UTC 2026","37569","","tests.signup.tests.customer.CustomerSignupTest","","tests.signup.tests.customer.CustomerSignupTest","verifyConfirmPasswordInputValidation","verifyConfirmPasswordInputValidation()",""
"passed","Sun Apr 26 07:50:06 UTC 2026","Sun Apr 26 07:50:30 UTC 2026","23956","","tests.home.HomePageTest","","tests.home.HomePageTest","verifyNavigationToFileAClaimPage","verifyNavigationToFileAClaimPage()",""
